sample,penicillin,gff
6925-1-49,0,data/tutorial_core/gff/6925-1-49.gff3
6925-1-50,0,data/tutorial_core/gff/6925-1-50.gff3
6925-1-51,0,data/tutorial_core/gff/6925-1-51.gff3
6925-1-52,0,data/tutorial_core/gff/6925-1-52.gff3
6925-1-53,0,data/tutorial_core/gff/6925-1-53.gff3
6925-1-54,0,data/tutorial_core/gff/6925-1-54.gff3
6925-1-55,1,data/tutorial_core/gff/6925-1-55.gff3
6925-1-56,1,data/tutorial_core/gff/6925-1-56.gff3
6925-1-57,0,data/tutorial_core/gff/6925-1-57.gff3
6925-1-58,1,data/tutorial_core/gff/6925-1-58.gff3
6925-1-59,0,data/tutorial_core/gff/6925-1-59.gff3
6925-1-60,0,data/tutorial_core/gff/6925-1-60.gff3
6925-1-61,0,data/tutorial_core/gff/6925-1-61.gff3
6925-1-62,1,data/tutorial_core/gff/6925-1-62.gff3
6925-1-63,1,data/tutorial_core/gff/6925-1-63.gff3
6925-1-64,0,data/tutorial_core/gff/6925-1-64.gff3
6925-1-65,1,data/tutorial_core/gff/6925-1-65.gff3
6925-1-66,0,data/tutorial_core/gff/6925-1-66.gff3
6925-1-67,0,data/tutorial_core/gff/6925-1-67.gff3
6925-1-68,0,data/tutorial_core/gff/6925-1-68.gff3
6925-1-69,0,data/tutorial_core/gff/6925-1-69.gff3
6925-1-70,0,data/tutorial_core/gff/6925-1-70.gff3
6925-1-71,0,data/tutorial_core/gff/6925-1-71.gff3
6925-2-73,0,data/tutorial_core/gff/6925-2-73.gff3
6925-2-74,0,data/tutorial_core/gff/6925-2-74.gff3
6925-2-75,0,data/tutorial_core/gff/6925-2-75.gff3
6925-2-76,0,data/tutorial_core/gff/6925-2-76.gff3
6925-2-77,1,data/tutorial_core/gff/6925-2-77.gff3
6925-2-78,0,data/tutorial_core/gff/6925-2-78.gff3
6925-2-79,0,data/tutorial_core/gff/6925-2-79.gff3
6925-2-80,0,data/tutorial_core/gff/6925-2-80.gff3
6925-2-81,0,data/tutorial_core/gff/6925-2-81.gff3
6925-2-82,0,data/tutorial_core/gff/6925-2-82.gff3
6925-2-83,1,data/tutorial_core/gff/6925-2-83.gff3
6925-2-84,1,data/tutorial_core/gff/6925-2-84.gff3
6925-2-85,1,data/tutorial_core/gff/6925-2-85.gff3
6925-2-86,1,data/tutorial_core/gff/6925-2-86.gff3
6925-2-87,0,data/tutorial_core/gff/6925-2-87.gff3
6925-2-88,1,data/tutorial_core/gff/6925-2-88.gff3
6925-2-89,0,data/tutorial_core/gff/6925-2-89.gff3
6925-2-90,0,data/tutorial_core/gff/6925-2-90.gff3
6925-2-91,0,data/tutorial_core/gff/6925-2-91.gff3
6925-2-92,0,data/tutorial_core/gff/6925-2-92.gff3
6925-2-93,0,data/tutorial_core/gff/6925-2-93.gff3
6925-2-94,0,data/tutorial_core/gff/6925-2-94.gff3
6925-2-95,1,data/tutorial_core/gff/6925-2-95.gff3
6930-8-10,1,data/tutorial_core/gff/6930-8-10.gff3
6930-8-11,0,data/tutorial_core/gff/6930-8-11.gff3
6930-8-12,0,data/tutorial_core/gff/6930-8-12.gff3
6930-8-13,0,data/tutorial_core/gff/6930-8-13.gff3
6930-8-14,0,data/tutorial_core/gff/6930-8-14.gff3
6930-8-15,0,data/tutorial_core/gff/6930-8-15.gff3
6930-8-16,0,data/tutorial_core/gff/6930-8-16.gff3
6930-8-17,0,data/tutorial_core/gff/6930-8-17.gff3
6930-8-18,0,data/tutorial_core/gff/6930-8-18.gff3
6930-8-19,1,data/tutorial_core/gff/6930-8-19.gff3
6930-8-20,1,data/tutorial_core/gff/6930-8-20.gff3
6930-8-21,1,data/tutorial_core/gff/6930-8-21.gff3
6930-8-22,0,data/tutorial_core/gff/6930-8-22.gff3
6930-8-23,0,data/tutorial_core/gff/6930-8-23.gff3
6930-8-5,0,data/tutorial_core/gff/6930-8-5.gff3
6930-8-6,0,data/tutorial_core/gff/6930-8-6.gff3
6930-8-7,1,data/tutorial_core/gff/6930-8-7.gff3
6930-8-8,0,data/tutorial_core/gff/6930-8-8.gff3
6930-8-9,0,data/tutorial_core/gff/6930-8-9.gff3
6952-4-10,0,data/tutorial_core/gff/6952-4-10.gff3
6952-4-11,1,data/tutorial_core/gff/6952-4-11.gff3
6952-4-12,0,data/tutorial_core/gff/6952-4-12.gff3
6952-4-13,0,data/tutorial_core/gff/6952-4-13.gff3
6952-4-14,1,data/tutorial_core/gff/6952-4-14.gff3
6952-4-15,0,data/tutorial_core/gff/6952-4-15.gff3
6952-4-16,0,data/tutorial_core/gff/6952-4-16.gff3
6952-4-17,0,data/tutorial_core/gff/6952-4-17.gff3
6952-4-18,0,data/tutorial_core/gff/6952-4-18.gff3
6952-4-19,0,data/tutorial_core/gff/6952-4-19.gff3
6952-4-1,1,data/tutorial_core/gff/6952-4-1.gff3
6952-4-20,0,data/tutorial_core/gff/6952-4-20.gff3
6952-4-21,1,data/tutorial_core/gff/6952-4-21.gff3
6952-4-22,0,data/tutorial_core/gff/6952-4-22.gff3
6952-4-23,0,data/tutorial_core/gff/6952-4-23.gff3
6952-4-3,1,data/tutorial_core/gff/6952-4-3.gff3
6952-4-4,0,data/tutorial_core/gff/6952-4-4.gff3
6952-4-5,1,data/tutorial_core/gff/6952-4-5.gff3
6952-4-6,0,data/tutorial_core/gff/6952-4-6.gff3
6952-4-7,0,data/tutorial_core/gff/6952-4-7.gff3
6952-4-8,0,data/tutorial_core/gff/6952-4-8.gff3
6952-7-10,1,data/tutorial_core/gff/6952-7-10.gff3
6952-7-11,1,data/tutorial_core/gff/6952-7-11.gff3
6952-7-13,0,data/tutorial_core/gff/6952-7-13.gff3
6952-7-14,0,data/tutorial_core/gff/6952-7-14.gff3
6952-7-15,0,data/tutorial_core/gff/6952-7-15.gff3
6952-7-16,0,data/tutorial_core/gff/6952-7-16.gff3
6952-7-17,0,data/tutorial_core/gff/6952-7-17.gff3
6952-7-18,0,data/tutorial_core/gff/6952-7-18.gff3
6952-7-19,1,data/tutorial_core/gff/6952-7-19.gff3
6952-7-1,0,data/tutorial_core/gff/6952-7-1.gff3
6952-7-20,1,data/tutorial_core/gff/6952-7-20.gff3
6952-7-21,0,data/tutorial_core/gff/6952-7-21.gff3
6952-7-22,0,data/tutorial_core/gff/6952-7-22.gff3
6952-7-23,1,data/tutorial_core/gff/6952-7-23.gff3
6952-7-2,0,data/tutorial_core/gff/6952-7-2.gff3
6952-7-3,1,data/tutorial_core/gff/6952-7-3.gff3
6952-7-4,1,data/tutorial_core/gff/6952-7-4.gff3
6952-7-5,0,data/tutorial_core/gff/6952-7-5.gff3
