sample,penicillin
6925-1-49,0
6925-1-50,0
6925-1-51,0
6925-1-52,0
6925-1-53,0
6925-1-54,0
6925-1-55,1
6925-1-56,1
6925-1-57,0
6925-1-58,1
6925-1-59,0
6925-1-60,0
6925-1-61,0
6925-1-62,1
6925-1-63,1
6925-1-64,0
6925-1-65,1
6925-1-66,0
6925-1-67,0
6925-1-68,0
6925-1-69,0
6925-1-70,0
6925-1-71,0
6925-2-73,0
6925-2-74,0
6925-2-75,0
6925-2-76,0
6925-2-77,1
6925-2-78,0
6925-2-79,0
6925-2-80,0
6925-2-81,0
6925-2-82,0
6925-2-83,1
6925-2-84,1
6925-2-85,1
6925-2-86,1
6925-2-87,0
6925-2-88,1
6925-2-89,0
6925-2-90,0
6925-2-91,0
6925-2-92,0
6925-2-93,0
6925-2-94,0
6925-2-95,1
6930-8-10,1
6930-8-11,0
6930-8-12,0
6930-8-13,0
6930-8-14,0
6930-8-15,0
6930-8-16,0
6930-8-17,0
6930-8-18,0
6930-8-19,1
6930-8-20,1
6930-8-21,1
6930-8-22,0
6930-8-23,0
6930-8-5,0
6930-8-6,0
6930-8-7,1
6930-8-8,0
6930-8-9,0
6952-4-10,0
6952-4-11,1
6952-4-12,0
6952-4-13,0
6952-4-14,1
6952-4-15,0
6952-4-16,0
6952-4-17,0
6952-4-18,0
6952-4-19,0
6952-4-1,1
6952-4-20,0
6952-4-21,1
6952-4-22,0
6952-4-23,0
6952-4-3,1
6952-4-4,0
6952-4-5,1
6952-4-6,0
6952-4-7,0
6952-4-8,0
6952-7-10,1
6952-7-11,1
6952-7-13,0
6952-7-14,0
6952-7-15,0
6952-7-16,0
6952-7-17,0
6952-7-18,0
6952-7-19,1
6952-7-1,0
6952-7-20,1
6952-7-21,0
6952-7-22,0
6952-7-23,1
6952-7-2,0
6952-7-3,1
6952-7-4,1
6952-7-5,0
6952-7-6,0
6952-7-7,1
6952-7-8,0
6952-7-9,0
6999-1-10,0
6999-1-11,0
6999-1-12,0
6999-1-13,0
6999-1-14,1
6999-1-15,0
6999-1-16,1
6999-1-17,1
6999-1-18,1
6999-1-19,0
6999-1-1,0
6999-1-20,0
6999-1-21,1
6999-1-22,0
6999-1-23,0
6999-1-2,1
6999-1-3,0
6999-1-4,0
6999-1-5,0
6999-1-6,0
6999-1-7,0
6999-1-8,0
6999-1-9,0
6999-2-10,0
6999-2-11,0
6999-2-12,1
6999-2-13,0
6999-2-14,1
6999-2-15,1
6999-2-16,1
6999-2-17,0
6999-2-18,0
6999-2-19,1
6999-2-1,1
6999-2-20,1
6999-2-21,1
6999-2-22,0
6999-2-23,1
6999-2-2,0
6999-2-3,1
6999-2-4,1
6999-2-5,1
6999-2-6,0
6999-2-7,0
6999-2-8,0
6999-2-9,1
6999-3-10,0
6999-3-11,0
6999-3-12,0
6999-3-13,1
6999-3-14,1
6999-3-15,0
6999-3-16,1
6999-3-18,0
6999-3-19,1
6999-3-1,0
6999-3-20,0
6999-3-21,1
6999-3-22,0
6999-3-23,0
6999-3-2,0
6999-3-3,0
6999-3-4,0
6999-3-5,1
6999-3-6,1
6999-3-7,1
6999-3-9,0
6999-4-10,0
6999-4-11,1
6999-4-12,1
6999-4-13,0
6999-4-14,0
6999-4-15,0
6999-4-16,0
6999-4-17,0
6999-4-18,0
6999-4-19,0
6999-4-20,1
6999-4-21,0
6999-4-22,0
6999-4-23,0
6999-4-2,1
6999-4-4,0
6999-4-6,0
6999-4-7,0
6999-4-8,0
6999-4-9,0
6999-5-10,1
6999-5-11,1
6999-5-12,0
6999-5-13,1
6999-5-14,1
6999-5-15,0
6999-5-16,0
6999-5-17,1
6999-5-18,0
6999-5-19,1
6999-5-1,0
6999-5-20,1
6999-5-21,0
