cluster	cluster_id	num_samples	representative	feature	feature_alt	gene	gene_alt	product	product_alt	name	name_alt	dbxref	dbxref_alt	6952-4-17	6952-4-19	6999-1-11	6999-1-3	6999-5-12	6999-5-5	6999-7-20	7001-3-2	7553-4-28	7622-3-93	7622-4-37	7622-4-48	7622-5-52	7622-5-56	7622-5-93
Cluster_1	Cluster_1	15	6952-4-17_LCDOPKNNMA_104	regulatory_region				L17 ribosomal protein downstream element		L17 ribosomal protein downstream element		RFAM:RF01708,SO:0005836		6952-4-17_LCDOPKNNMA_104	6952-4-19_IDAKCOMANN_87	6999-1-11_GAMHDOLNIF_97	6999-1-3_MFDHOJACBE_90	6999-5-12_GABGCOFCDB_90	6999-5-5_IEJANNHHMP_91	6999-7-20_BDNIPIMNEB_100	7001-3-2_ILCIHPINGC_91	7553-4-28_BBELPCEAHD_79	7622-3-93_BNKJJALABE_89	7622-4-37_HCELOAPBLE_102	7622-4-48_OIGNLOAINF_96	7622-5-52_DJJKEIGIHN_103	7622-5-56_HCMIMPIGDA_84	7622-5-93_FBDJDOPBJI_84
Cluster_2	Cluster_2	15	6952-4-17_LCDOPKNNMA_109	regulatory_region				PyrR binding site		PyrR binding site		RFAM:RF00515,SO:0005836		6952-4-17_LCDOPKNNMA_109	6952-4-19_IDAKCOMANN_97	6999-1-11_GAMHDOLNIF_102	6999-1-3_MFDHOJACBE_95	6999-5-12_GABGCOFCDB_101	6999-5-5_IEJANNHHMP_96	6999-7-20_BDNIPIMNEB_106	7001-3-2_ILCIHPINGC_103	7553-4-28_BBELPCEAHD_88	7622-3-93_BNKJJALABE_100	7622-4-37_HCELOAPBLE_114	7622-4-48_OIGNLOAINF_100	7622-5-52_DJJKEIGIHN_108	7622-5-56_HCMIMPIGDA_89	7622-5-93_FBDJDOPBJI_92
Cluster_3	Cluster_3	15	6952-4-17_LCDOPKNNMA_109__6952-4-17_LCDOPK_02950	unannotated										6952-4-17_LCDOPKNNMA_109__6952-4-17_LCDOPK_02950	6952-4-19_IDAKCO_05055__6952-4-19_IDAKCOMANN_97	6999-1-11_GAMHDO_02235__6999-1-11_GAMHDOLNIF_102	6999-1-3_MFDHOJACBE_95__6999-1-3_MFDHOJ_01730	6999-5-12_GABGCO_05185__6999-5-12_GABGCOFCDB_101	6999-5-5_IEJANN_01370__6999-5-5_IEJANNHHMP_96	6999-7-20_BDNIPIMNEB_106__6999-7-20_BDNIPI_03175	7001-3-2_ILCIHP_05055__7001-3-2_ILCIHPINGC_103	7553-4-28_BBELPC_04015__7553-4-28_BBELPCEAHD_88	7622-3-93_BNKJJA_05175__7622-3-93_BNKJJALABE_100	7622-4-37_HCELOA_08585__7622-4-37_HCELOAPBLE_114	7622-4-48_OIGNLO_03245__7622-4-48_OIGNLOAINF_100	7622-5-52_DJJKEI_02035__7622-5-52_DJJKEIGIHN_108	7622-5-56_HCMIMP_03975__7622-5-56_HCMIMPIGDA_89	7622-5-93_FBDJDOPBJI_92__7622-5-93_FBDJDO_04820
Cluster_4	Cluster_4	15	6952-4-17_LCDOPKNNMA_110	regulatory_region				Glycine riboswitch		Glycine riboswitch		RFAM:RF00504,SO:0000035		6952-4-17_LCDOPKNNMA_110	6952-4-19_IDAKCOMANN_105	6999-1-11_GAMHDOLNIF_111	6999-1-3_MFDHOJACBE_104	6999-5-12_GABGCOFCDB_106	6999-5-5_IEJANNHHMP_105	6999-7-20_BDNIPIMNEB_112	7001-3-2_ILCIHPINGC_104	7553-4-28_BBELPCEAHD_84	7622-3-93_BNKJJALABE_96	7622-4-37_HCELOAPBLE_101	7622-4-48_OIGNLOAINF_105	7622-5-52_DJJKEIGIHN_116	7622-5-56_HCMIMPIGDA_90	7622-5-93_FBDJDOPBJI_93
Cluster_5	Cluster_5	15	6952-4-17_LCDOPKNNMA_110__6952-4-17_LCDOPK_04185	unannotated										6952-4-17_LCDOPKNNMA_110__6952-4-17_LCDOPK_04185	6952-4-19_IDAKCOMANN_105__6952-4-19_IDAKCO_08990	6999-1-11_GAMHDOLNIF_111__6999-1-11_GAMHDO_08830	6999-1-3_MFDHOJ_08725__6999-1-3_MFDHOJACBE_104	6999-5-12_GABGCO_07690__6999-5-12_GABGCOFCDB_106	6999-5-5_IEJANN_08150__6999-5-5_IEJANNHHMP_105	6999-7-20_BDNIPI_05265__6999-7-20_BDNIPIMNEB_112	7001-3-2_ILCIHPINGC_104__7001-3-2_ILCIHP_05435	7553-4-28_BBELPC_03680__7553-4-28_BBELPCEAHD_84	7622-3-93_BNKJJA_04400__7622-3-93_BNKJJALABE_96	7622-4-37_HCELOA_00370__7622-4-37_HCELOAPBLE_101	7622-4-48_OIGNLOAINF_105__7622-4-48_OIGNLO_06660	7622-5-52_DJJKEI_07740__7622-5-52_DJJKEIGIHN_116	7622-5-56_HCMIMP_04410__7622-5-56_HCMIMPIGDA_90	7622-5-93_FBDJDO_05650__7622-5-93_FBDJDOPBJI_93
Cluster_6	Cluster_6	15	6952-4-17_LCDOPKNNMA_111	regulatory_region				Purine riboswitch		Purine riboswitch		RFAM:RF00167,SO:0000035		6952-4-17_LCDOPKNNMA_111	6952-4-19_IDAKCOMANN_100	6999-1-11_GAMHDOLNIF_104	6999-1-3_MFDHOJACBE_97	6999-5-12_GABGCOFCDB_96	6999-5-5_IEJANNHHMP_98	6999-7-20_BDNIPIMNEB_117	7001-3-2_ILCIHPINGC_93	7553-4-28_BBELPCEAHD_81	7622-3-93_BNKJJALABE_93	7622-4-37_HCELOAPBLE_105	7622-4-48_OIGNLOAINF_109	7622-5-52_DJJKEIGIHN_110	7622-5-56_HCMIMPIGDA_86	7622-5-93_FBDJDOPBJI_86
Cluster_7	Cluster_7	15	6952-4-17_LCDOPKNNMA_112__6952-4-17_LCDOPK_05565	unannotated										6952-4-17_LCDOPKNNMA_112__6952-4-17_LCDOPK_05565	6952-4-19_IDAKCO_04745__6952-4-19_IDAKCOMANN_95	6999-1-11_GAMHDOLNIF_105__6999-1-11_GAMHDO_05695	6999-1-3_MFDHOJACBE_100__6999-1-3_MFDHOJ_04875	6999-5-12_GABGCOFCDB_94__6999-5-12_GABGCO_02140	6999-5-5_IEJANNHHMP_100__6999-5-5_IEJANN_05145	6999-7-20_BDNIPI_08600__6999-7-20_BDNIPIMNEB_118	7001-3-2_ILCIHPINGC_105__7001-3-2_ILCIHP_06310	7553-4-28_BBELPCEAHD_89__7553-4-28_BBELPC_05505	7622-3-93_BNKJJALABE_91__7622-3-93_BNKJJA_01590	7622-4-37_HCELOAPBLE_112__7622-4-37_HCELOA_06430	7622-4-48_OIGNLOAINF_104__7622-4-48_OIGNLO_06395	7622-5-52_DJJKEIGIHN_114__7622-5-52_DJJKEI_06435	7622-5-56_HCMIMP_03350__7622-5-56_HCMIMPIGDA_88	7622-5-93_FBDJDO_03970__7622-5-93_FBDJDOPBJI_88
Cluster_8	Cluster_8	15	6952-4-17_LCDOPKNNMA_114	regulatory_region				preQ1-II (pre queuosine) riboswitch		preQ1-II (pre queuosine) riboswitch		RFAM:RF01054,SO:0000035		6952-4-17_LCDOPKNNMA_114	6952-4-19_IDAKCOMANN_99	6999-1-11_GAMHDOLNIF_112	6999-1-3_MFDHOJACBE_103	6999-5-12_GABGCOFCDB_102	6999-5-5_IEJANNHHMP_108	6999-7-20_BDNIPIMNEB_102	7001-3-2_ILCIHPINGC_110	7553-4-28_BBELPCEAHD_91	7622-3-93_BNKJJALABE_97	7622-4-37_HCELOAPBLE_106	7622-4-48_OIGNLOAINF_94	7622-5-52_DJJKEIGIHN_117	7622-5-56_HCMIMPIGDA_94	7622-5-93_FBDJDOPBJI_89
Cluster_9	Cluster_9	13	6952-4-17_LCDOPKNNMA_114__6952-4-17_LCDOPK_06930	unannotated										6952-4-17_LCDOPKNNMA_114__6952-4-17_LCDOPK_06930	6952-4-19_IDAKCOMANN_99__6952-4-19_IDAKCO_06820		6999-1-3_MFDHOJACBE_103__6999-1-3_MFDHOJ_08170	6999-5-12_GABGCOFCDB_102__6999-5-12_GABGCO_05680	6999-5-5_IEJANNHHMP_108__6999-5-5_IEJANN_08510	6999-7-20_BDNIPIMNEB_102__6999-7-20_BDNIPI_02440	7001-3-2_ILCIHPINGC_110__7001-3-2_ILCIHP_08895	7553-4-28_BBELPCEAHD_91__7553-4-28_BBELPC_06620	7622-3-93_BNKJJALABE_97__7622-3-93_BNKJJA_05065	7622-4-37_HCELOAPBLE_106__7622-4-37_HCELOA_05095	7622-4-48_OIGNLOAINF_94__7622-4-48_OIGNLO_02490	7622-5-52_DJJKEIGIHN_117__7622-5-52_DJJKEI_08290		7622-5-93_FBDJDOPBJI_89__7622-5-93_FBDJDO_04565
Cluster_10	Cluster_10	15	6952-4-17_LCDOPKNNMA_116	regulatory_region				T-box leader		T-box leader		RFAM:RF00230,SO:0000140		6952-4-17_LCDOPKNNMA_116	6952-4-19_IDAKCOMANN_102	6999-1-11_GAMHDOLNIF_106	6999-1-3_MFDHOJACBE_105	6999-5-12_GABGCOFCDB_103	6999-5-5_IEJANNHHMP_106	6999-7-20_BDNIPIMNEB_105	7001-3-2_ILCIHPINGC_108	7553-4-28_BBELPCEAHD_95	7622-3-93_BNKJJALABE_98	7622-4-37_HCELOAPBLE_107	7622-4-48_OIGNLOAINF_106	7622-5-52_DJJKEIGIHN_119	7622-5-56_HCMIMPIGDA_91	7622-5-93_FBDJDOPBJI_90
