cluster	cluster_id	synteny	synteny_pos	num_samples	representative	upstream	downstream	feature	feature_alt	gene	gene_alt	product	product_alt	product_clean	name	name_alt	dbxref	dbxref_alt	reference
START__dnaA	Cluster_1	1	1	1	START__FM211187.2	START	dnaA	unannotated											START__FM211187.2
dnaA	Cluster_2	1	2	1	FM211187.2	START	dnaA__dnaN	CDS		dnaA		chromosomal replication initiator protein		chromosomal_replication_initiator_protein	chromosomal replication initiator protein				FM211187.2
dnaA__dnaN	Cluster_3	1	3	1	FM211187.2__FM211187.7	dnaA	dnaN	unannotated											FM211187.2__FM211187.7
dnaN	Cluster_4	1	4	1	FM211187.7	dnaA__dnaN	dnaN__conserved_protein.1	CDS		dnaN		DNA polymerase III, beta chain		DNA_polymerase_III_beta_chain	DNA polymerase III, beta chain				FM211187.7
dnaN__conserved_protein.1	Cluster_5	1	5	1	FM211187.7__FM211187.11	dnaN	conserved_protein.1	unannotated											FM211187.7__FM211187.11
conserved_protein.1	Cluster_6	1	6	1	FM211187.11	dnaN__conserved_protein.1	conserved_protein.1__GTP-binding_protein.1	CDS				conserved hypothetical protein		conserved_protein	conserved hypothetical protein				FM211187.11
conserved_protein.1__GTP-binding_protein.1	Cluster_7	1	7	1	FM211187.11__FM211187.13	conserved_protein.1	GTP-binding_protein.1	unannotated											FM211187.11__FM211187.13
GTP-binding_protein.1	Cluster_8	1	8	1	FM211187.13	conserved_protein.1__GTP-binding_protein.1	GTP-binding_protein.1__pth	CDS				putative GTP-binding protein		GTP-binding_protein	putative GTP-binding protein				FM211187.13
GTP-binding_protein.1__pth	Cluster_9	1	9	1	FM211187.13__FM211187.17	GTP-binding_protein.1	pth	unannotated											FM211187.13__FM211187.17
pth	Cluster_10	1	10	1	FM211187.17	GTP-binding_protein.1__pth	trcF	CDS		pth		peptidyl-tRNA hydrolase		peptidyl-tRNA_hydrolase	peptidyl-tRNA hydrolase				FM211187.17
trcF	Cluster_11	1	11	1	FM211187.20	pth	trcF__S4_domain_containing_protein	CDS		trcF		putative transcription-repair coupling factor		transcription-repair_coupling_factor	putative transcription-repair coupling factor				FM211187.20
trcF__S4_domain_containing_protein	Cluster_12	1	12	1	FM211187.20__FM211187.27	trcF	S4_domain_containing_protein	unannotated											FM211187.20__FM211187.27
S4_domain_containing_protein	Cluster_13	1	13	1	FM211187.27	trcF__S4_domain_containing_protein	septum_formation_initiator_protein	CDS				S4 domain containing protein		S4_domain_containing_protein	S4 domain containing protein				FM211187.27
